!x	fA	fB	fC	fD	A	B	C	D
0.008333333	0.012873136	0.388961781	0.576649612	0.231280512	0.01276	0.38976	0.5777	0.23108
0.016666667	0.012913138	0.387580322	0.57765365	0.23133917	0.01281	0.38836	0.57857	0.23115
0.025	0.012953196	0.386192961	0.578656169	0.23139833	0.01286	0.38695	0.57945	0.23122
0.033333334	0.012993306	0.384799632	0.579657255	0.231458007	0.01291	0.38554	0.58033	0.2313
0.041666668	0.013033466	0.383400265	0.580656993	0.231518212	0.01296	0.38412	0.58122	0.23137
0.050000003	0.013073674	0.381994787	0.581655472	0.23157896	0.01301	0.38269	0.58211	0.23144
0.05833334	0.013113925	0.380583127	0.582652785	0.231640263	0.01306	0.38125	0.58301	0.23152
0.066666681	0.013154216	0.379165207	0.583649027	0.231702135	0.01311	0.37981	0.58391	0.23159
0.07500003	0.013194544	0.37774095	0.584644299	0.231764591	0.01315	0.37836	0.58481	0.23166
0.083333389	0.013234904	0.376310275	0.585638702	0.231827644	0.0132	0.3769	0.58572	0.23174
0.091666766	0.013275293	0.374873102	0.586632343	0.231891308	0.01325	0.37544	0.58664	0.23181
0.100000167	0.013315706	0.373429343	0.587625332	0.231955598	0.0133	0.37397	0.58756	0.23189
0.108333603	0.013356138	0.371978912	0.588617784	0.232020528	0.01334	0.37249	0.58848	0.23196
0.116667087	0.013396584	0.370521718	0.589609815	0.232086113	0.01339	0.371	0.58941	0.23204
0.125000636	0.013437039	0.369057669	0.59060155	0.232152368	0.01344	0.36951	0.59035	0.23212
0.13333427	0.013477497	0.367586668	0.591593114	0.232219307	0.01348	0.36801	0.59129	0.23219
0.141668014	0.013517951	0.366108616	0.592584638	0.232286947	0.01353	0.3665	0.59223	0.23227
0.150001899	0.013558396	0.36462341	0.593576258	0.232355302	0.01358	0.36498	0.59318	0.23235
0.15833596	0.013598824	0.363130946	0.594568116	0.232424387	0.01362	0.36345	0.59414	0.23243
0.166670239	0.013639229	0.361631113	0.595560356	0.232494218	0.01367	0.36192	0.5951	0.23251
0.175004788	0.013679602	0.360123799	0.59655313	0.232564811	0.01371	0.36038	0.59606	0.23259
0.183339663	0.013719935	0.358608888	0.597546592	0.232636181	0.01375	0.35883	0.59703	0.23267
0.191674932	0.013760221	0.357086257	0.598540906	0.232708344	0.0138	0.35727	0.59801	0.23275
0.20001067	0.013800449	0.355555783	0.599536238	0.232781316	0.01384	0.3557	0.59899	0.23283
0.208346966	0.01384061	0.354017337	0.60053276	0.232855112	0.01388	0.35413	0.59998	0.23291
0.216683917	0.013880694	0.352470783	0.601530652	0.232929749	0.01393	0.35254	0.60097	0.23299
0.225021637	0.01392069	0.350915984	0.602530099	0.233005242	0.01397	0.35095	0.60197	0.23307
0.233360249	0.013960587	0.349352795	0.603531292	0.233081606	0.01401	0.34934	0.60298	0.23316
0.241699895	0.014000374	0.347781068	0.60453443	0.233158859	0.01405	0.34773	0.60399	0.23324
0.25004073	0.014040037	0.346200649	0.605539715	0.233237016	0.01409	0.34611	0.60501	0.23333
0.258382928	0.014079564	0.344611376	0.606547361	0.233316092	0.01413	0.34448	0.60603	0.23341
0.26672668	0.014118941	0.343013085	0.607557584	0.233396103	0.01417	0.34284	0.60706	0.2335
0.275072199	0.014158152	0.341405602	0.608570611	0.233477066	0.01421	0.3412	0.6081	0.23358
0.283419716	0.014197184	0.339788749	0.609586675	0.233558995	0.01425	0.33954	0.60914	0.23367
0.291769489	0.01423602	0.338162341	0.610606016	0.233641906	0.01429	0.33787	0.61019	0.23376
0.300121796	0.014274643	0.336526185	0.611628882	0.233725814	0.01433	0.33619	0.61124	0.23384
0.308476943	0.014313036	0.334880081	0.61265553	0.233810735	0.01436	0.33451	0.6123	0.23393
0.316835264	0.014351179	0.333223821	0.613686223	0.233896683	0.0144	0.33281	0.61337	0.23402
0.325197119	0.014389055	0.331557191	0.614721233	0.233983674	0.01444	0.3311	0.61444	0.23411
0.333562903	0.014426643	0.329879965	0.615760843	0.234071723	0.01447	0.32939	0.61552	0.2342
0.341933043	0.014463921	0.328191913	0.61680534	0.234160843	0.01451	0.32766	0.61661	0.23429
0.350307999	0.014500868	0.326492791	0.617855024	0.234251049	0.01454	0.32593	0.6177	0.23438
0.358688271	0.014537461	0.324782349	0.618910202	0.234342356	0.01458	0.32418	0.6188	0.23447
0.367074397	0.014573676	0.323060326	0.619971189	0.234434777	0.01461	0.32242	0.61991	0.23457
0.375466959	0.014609487	0.321326451	0.621038311	0.234528326	0.01464	0.32066	0.62102	0.23466
0.383866583	0.014644869	0.319580441	0.622111904	0.234623016	0.01468	0.31888	0.62214	0.23475
0.392273942	0.014679794	0.317822004	0.623192313	0.234718861	0.01471	0.31709	0.62327	0.23485
0.40068976	0.014714235	0.316050833	0.624279891	0.234815873	0.01474	0.31529	0.6244	0.23494
