由GetData Graph Digitizer 2.26.0.20在July 11 2016, 20:56生成
来自文件 'C:\Users\qhjun\Documents\Visual Studio 2015\Projects\plotRes\plotRes\Mazars\Tri_Axial_页面_3.jpg'

曲线 #1
-2.57510729613740e-005    0.00000000000000e+000
-2.31759656652356e-004   -7.38531968746561e+006
-4.89270386266095e-004   -1.37451744250028e+007
-7.98283261802573e-004   -2.13359744690217e+007
-1.36480686695279e-003   -3.32353471992957e+007
-1.72532188841201e-003   -4.04160669087708e+007
-2.13733905579399e-003   -4.78020908990866e+007
-2.80686695278970e-003   -5.31377132166832e+007
-3.27038626609442e-003   -5.47803235391218e+007
-3.93991416309013e-003   -5.51928689336415e+007
-4.30042918454936e-003   -5.33479476174755e+007
-4.86695278969957e-003   -4.88370639374931e+007
-5.48497854077253e-003   -4.41212281280951e+007
-6.20600858369099e-003   -3.79698470342247e+007
-6.92703862660944e-003   -3.16133377352261e+007
-7.69957081545065e-003   -2.54621327170683e+007
-8.21459227467811e-003   -2.19767139870144e+007
-9.45064377682404e-003   -1.64424782656542e+007

曲线 #2
-2.57510729613740e-005    0.00000000000000e+000
 1.28755364806867e-004   -4.96404974138880e+007
 2.31759656652359e-004   -5.23068119291295e+007
 4.37768240343347e-004   -5.59984153185870e+007
 6.95278969957080e-004   -5.51770221195114e+007
 8.49785407725324e-004   -5.08688015846814e+007
 1.15879828326180e-003   -4.08164630791240e+007
 2.03433476394850e-003   -2.33775723561131e+007
 2.44635193133047e-003   -1.64018047760537e+007

曲线 #3
-2.57510729613740e-005    0.00000000000000e+000
 1.80257510729614e-004   -4.10249367227908e+007
 4.37768240343347e-004   -4.82035435237152e+007
 5.92274678111588e-004   -5.00491691427314e+007
 9.01287553648069e-004   -5.31250357653791e+007
 1.36480686695279e-003   -5.49696049301200e+007
 1.87982832618026e-003   -5.53781005832508e+007
 2.60085836909871e-003   -5.53756355232750e+007
 3.73390557939914e-003   -5.37307362165731e+007
 8.11158798283262e-003   -4.67414108066469e+007
 1.18197424892704e-002   -4.13954000220095e+007
 1.81545064377682e-002   -3.27583580939804e+007
 2.20686695278970e-002   -2.82321558270056e+007
 2.49012875536481e-002   -2.47352921756355e+007
 3.03090128755365e-002   -2.06142401232530e+007
 3.87038626609442e-002   -1.64829756795422e+007
