由GetData Graph Digitizer 2.26.0.20在July 15 2016, 14:54生成
来自文件 'C:\Users\qhjun\Documents\Visual Studio 2015\Projects\plotRes\plotRes\Mazars\Tri_Axial_页面_5.jpg'

曲线 #1
 2.55754475703314e-005    0.00000000000000e+000
-4.85933503836317e-004   -1.84806193499249e+007
-1.09974424552430e-003   -3.47284285596825e+007
-1.71355498721228e-003   -4.91488266019275e+007
-2.32736572890026e-003   -6.07265850502638e+007
-3.04347826086956e-003   -6.88532592467576e+007
-3.65728900255755e-003   -7.33244187103224e+007
-4.11764705882352e-003   -7.53579913536812e+007
-4.47570332480818e-003   -7.71878259138570e+007
-5.03836317135550e-003   -7.88159995845613e+007
-5.95907928388747e-003   -8.14618250743246e+007
-6.93094629156010e-003   -8.28897226513647e+007
-7.64705882352941e-003   -8.39097978630870e+007
-8.41432225063939e-003   -8.43210822179236e+007
-9.28388746803070e-003   -8.47330589706640e+007
-1.02046035805627e-002   -8.45362448665187e+007
-1.11253196930946e-002   -8.39333393918150e+007
-1.20971867007673e-002   -8.31277344307840e+007
-1.31713554987212e-002   -8.15106391265401e+007
-1.41943734015345e-002   -8.00962433086234e+007
-1.52173913043478e-002   -7.78696647495900e+007
-1.60358056265985e-002   -7.60477927653074e+007
-1.70588235294118e-002   -7.40242598915532e+007
-1.78772378516624e-002   -7.22023879072706e+007
-1.86956521739130e-002   -6.99744245524297e+007
-1.94629156010230e-002   -6.77461149986368e+007
-2.04347826086956e-002   -6.49100531848140e+007
-2.12531969309463e-002   -6.30881812005314e+007
-2.22250639386189e-002   -6.00490737014294e+007
-2.31969309462916e-002   -5.76191032581649e+007
-2.43222506393862e-002   -5.49871257264769e+007
-2.55498721227621e-002   -5.19497492221342e+007
-2.66240409207161e-002   -4.95204711767735e+007
-2.76470588235294e-002   -4.79030296735777e+007
-2.87723785166240e-002   -4.52710521418896e+007

曲线 #2
 2.55754475703314e-005    0.00000000000000e+000
 2.81329923273656e-004   -6.11150202742761e+007
 5.37084398976980e-004   -6.92351166906842e+007
 7.92838874680304e-004   -7.49186648837421e+007
 1.09974424552430e-003   -7.83683643397770e+007
 1.50895140664962e-003   -8.12082343420705e+007
 1.91815856777493e-003   -8.28298302326890e+007
 2.22506393861893e-003   -8.36399357800944e+007
 2.73657289002558e-003   -8.42456108464132e+007
 3.19693094629156e-003   -8.46485864264046e+007
 3.86189258312020e-003   -8.46440858400301e+007
 4.57800511508951e-003   -8.42331476841454e+007
 5.54987212276215e-003   -8.34143871629429e+007
 6.52173913043478e-003   -8.19864895859028e+007
 7.23785166240409e-003   -8.07633686889013e+007
 8.05626598465473e-003   -7.89304183381585e+007
 8.87468030690537e-003   -7.70974679874157e+007
 9.84654731457800e-003   -7.48573876692588e+007
 1.07672634271100e-002   -7.24146078647747e+007
 1.15856777493606e-002   -7.03786118287527e+007
 1.23529411764706e-002   -6.83429619916826e+007
 1.35294117647059e-002   -6.61014968777182e+007
 1.49104859335038e-002   -6.32495099121087e+007
 1.56777493606138e-002   -6.18229971308762e+007
 1.69053708439898e-002   -5.91750944474016e+007
 1.84910485933504e-002   -5.63217226859846e+007
 1.97186700767263e-002   -5.38768656877891e+007
 2.13554987212276e-002   -5.14292390979786e+007
 2.27365728900256e-002   -4.89833435029275e+007
 2.40153452685422e-002   -4.75533687321762e+007
 2.53964194373402e-002   -4.57166101929626e+007
