由GetData Graph Digitizer 2.26.0.20在July 11 2016, 21:03生成
来自文件 'C:\Users\qhjun\Documents\Visual Studio 2015\Projects\plotRes\plotRes\Mazars\Tri_Axial_页面_4.jpg'

曲线 #1
 0.00000000000000e+000    0.00000000000000e+000
-2.59790395388523e-004    7.77493606138107e+006
-6.23088970094710e-004    1.73913043478261e+007
-1.03777971774883e-003    2.68030690537084e+007
-1.60796304501366e-003    3.96930946291560e+007
-2.33192807289222e-003    5.07416879795396e+007
-2.89980829381496e-003    5.64705882352941e+007
-3.31219593512698e-003    5.87212276214834e+007
-3.67299399437603e-003    6.05626598465473e+007
-3.98220247156212e-003    6.19948849104859e+007
-4.34280312169614e-003    6.32225063938619e+007
-4.75479594477809e-003    6.42455242966752e+007
-5.21824674384632e-003    6.52685421994885e+007
-5.78454769184875e-003    6.60869565217391e+007
-6.55661474075796e-003    6.67007672634271e+007
-7.22563423161792e-003    6.69053708439898e+007
-7.89465372247788e-003    6.71099744245524e+007
-8.51201782823652e-003    6.67007672634271e+007
-9.38667181392656e-003    6.62915601023018e+007
-1.03126521695262e-002    6.54731457800511e+007
-1.12900246980737e-002    6.44501278772378e+007
-1.22158076445583e-002    6.30179028132992e+007
-1.31415905910429e-002    6.15856777493606e+007
-1.40159155615412e-002    6.01534526854220e+007
-1.50958750268696e-002    5.81074168797954e+007
-1.61244423192500e-002    5.62659846547315e+007
-1.73071861304743e-002    5.38107416879795e+007
-1.84897983356218e-002    5.09462915601023e+007
-2.00838111365062e-002    4.72634271099744e+007
-2.20379639662562e-002    4.33759590792839e+007
-2.39922484020829e-002    3.98976982097187e+007

曲线 #2
 0.00000000000000e+000    0.00000000000000e+000
 3.43097041934085e-004    5.31969309462916e+007
 3.93633775383522e-004    5.60613810741688e+007
 5.98281224638415e-004    5.97442455242967e+007
 8.54518255956272e-004    6.30179028132992e+007
 1.36837418239725e-003    6.52685421994885e+007
 2.03686724895044e-003    6.67007672634271e+007
 2.80867108570626e-003    6.69053708439898e+007
 3.52914855255250e-003    6.67007672634271e+007
 5.02215368957636e-003    6.44501278772378e+007
 6.66986176975078e-003    6.11764705882353e+007
 8.21452229187596e-003    5.83120204603581e+007
 1.02229626282611e-002    5.34015345268542e+007
 1.28489644795199e-002    4.82864450127877e+007
 1.48056836277654e-002    4.41943734015345e+007
 1.72255903629257e-002    3.98976982097187e+007

曲线 #3
 0.00000000000000e+000    0.00000000000000e+000
 3.93633775383522e-004    5.60613810741688e+007
 2.40444302114909e-004    5.23785166240409e+007
 5.46889051690480e-004    5.95396419437340e+007
 9.05976231942548e-004    6.30179028132992e+007
 1.52261650427939e-003    6.56777493606138e+007
 2.75708150364330e-003    6.73145780051151e+007
 5.74190732300079e-003    6.64961636828645e+007
 7.54352870986563e-003    6.46547314578005e+007
 9.39660807271674e-003    6.28132992327366e+007
 1.19191675476962e-002    5.93350383631714e+007
 1.45958377384812e-002    5.66751918158568e+007
 1.78390062863836e-002    5.25831202046036e+007
 2.14937728391379e-002    4.86956521739130e+007
 2.49943628730484e-002    4.41943734015345e+007
 2.88547639206328e-002    4.09207161125320e+007
