由GetData Graph Digitizer 2.26.0.20在July 14 2016, 19:00生成
来自文件 'C:\Users\qhjun\Documents\Visual Studio 2015\Projects\plotRes\plotRes\Mazars\kupfer.jpg'

曲线 #1
-4.66205389877423e-006    0.00000000000000e+000
-2.98760708390792e-004   -1.11659524294851e+007
-3.99986119451175e-004   -1.47391454367746e+007
-5.01682262167358e-004   -1.73449445284157e+007
-6.12630092426350e-004   -2.01741044617353e+007
-7.42262348407811e-004   -2.30779114954704e+007
-8.62823967483306e-004   -2.53862831045852e+007
-9.55630523930368e-004   -2.70245721886643e+007
-1.09513003961991e-003   -2.88866864820762e+007
-1.20676586229892e-003   -3.03019630002173e+007
-1.34648263875268e-003   -3.17175877940991e+007
-1.51424415885383e-003   -3.32079757803100e+007
-1.65417819607180e-003   -3.41771110746617e+007
-1.78486054574697e-003   -3.49228855273349e+007
-1.89693088995441e-003   -3.54451830464160e+007
-2.01839776221413e-003   -3.58931817408222e+007
-2.15862148045106e-003   -3.62669977024672e+007
-2.29888140881536e-003   -3.65663987475239e+007
-2.42981722938210e-003   -3.67912687840787e+007
-2.55146515227867e-003   -3.68671928955433e+007
-2.68254581335490e-003   -3.67944032657447e+007
-2.78569036116585e-003   -3.64236056938521e+007
-2.89830385728382e-003   -3.58296794641080e+007
-2.96404334352246e-003   -3.53840026079728e+007
-3.04864830612042e-003   -3.46408982693114e+007
-3.09570336663659e-003   -3.41205743127608e+007
-3.17098422143700e-003   -3.33029389655974e+007
-3.19928243597597e-003   -3.28567977418080e+007

曲线 #2
-4.66205389877423e-006    0.00000000000000e+000
 1.70124230911982e-004   -1.29461058319276e+007
 2.85562116964747e-004   -1.93443955555623e+007
 3.61965485713596e-004   -2.24688933169643e+007
 4.66522228491939e-004   -2.57418726358022e+007
 6.17808140640135e-004   -2.88654416618957e+007
 7.31000998796013e-004   -3.06500065570533e+007
 8.53264493857857e-004   -3.18391360275905e+007
 1.00353652243972e-003   -3.28790873892105e+007
 1.18178087441423e-003   -3.36954457253247e+007
 1.31307879625467e-003   -3.42147248546533e+007
 1.50061104589935e-003   -3.48821372656773e+007
 1.73490867504126e-003   -3.54745543005452e+007
 2.00661136575548e-003   -3.59920920511705e+007
 2.32511564609429e-003   -3.65090493422281e+007
 2.71839383945033e-003   -3.68018331482122e+007
 3.15840120217623e-003   -3.69452066614518e+007
 3.43913831966904e-003   -3.67928940708685e+007
 3.65438942181479e-003   -3.67158090402684e+007
 3.92565759100058e-003   -3.63403677918336e+007
 3.96306265257288e-003   -3.62654885075910e+007
