,moment,+1000kN,+1500kN,+2000kN,+2500kN,-1000kN,-1500kN,-2000kN,-2500kN
0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5.5,-22.826757,-31.175703,-37.699493,-44.703018,-9.9970579,-21.093272,-29.340719,-37.596851
2,10.5,-25.463418,-33.070055,-39.324966,-45.980574,-7.2489498,-18.755424,-27.491273,-35.919497
3,15.5,-28.127244,-35.06277,-41.001828,-47.346253,-4.5227273,-16.515948,-25.689986,-34.327498
4,20.5,-30.805303,-37.109057,-42.707023,-48.760328,-1.8084698,-14.35084,-23.914944,-32.782396
5,25.5,-33.491122,-39.186577,-44.428402,-50.201176,0.89924331,-12.224153,-22.154337,-31.263699
6,30.5,-36.181151,-41.281329,-46.158563,-51.657627,3.603419,-10.117204,-20.401741,-29.760127
7,35.5,-38.871746,-43.385526,-47.893001,-53.122956,6.3057432,-8.0204589,-18.653587,-28.265303
8,40.5,-41.562465,-45.495312,-49.629453,-54.593272,9.0071701,-5.9291563,-16.90796,-26.775657
9,45.5,-44.253252,-47.608212,-51.366474,-56.066061,11.708248,-3.8408142,-15.163756,-25.288979
10,50.5,-46.9441,-49.722584,-53.103616,-57.540385,14.409301,-1.753235,-13.420298,-23.803866
11,55.5,-49.635023,-51.837593,-54.840807,-59.0156,17.110533,0.33418715,-11.677207,-22.319783
12,60.5,-52.326061,-53.952721,-56.578015,-60.491147,19.812088,2.4214356,-9.9342686,-20.836166
13,65.5,-55.017285,-56.067909,-58.315225,-61.966737,22.514906,4.5085325,-8.191361,-19.352428
14,70.5,-57.708808,-58.18313,-60.052432,-63.442343,25.219099,6.5955101,-6.4484152,-17.868621
15,75.5,-60.400966,-60.298374,-61.789634,-64.91795,27.924501,8.6823954,-4.705391,-16.384723
16,80.5,-63.094321,-62.413643,-63.526832,-66.393552,30.631136,10.769219,-2.9622644,-14.900725
17,85.5,-65.786919,-64.528945,-65.26403,-67.869145,33.339213,12.85601,-1.2190204,-13.416621
18,90.5,-68.47732,-66.6443,-67.001232,-69.344727,36.049197,14.942795,0.5243512,-11.93339
19,95.5,-71.166774,-68.759734,-68.738479,-70.8203,38.759874,17.029603,2.2678581,-10.450639
20,100.5,-73.865278,-70.875286,-70.475758,-72.295863,41.468097,19.116467,4.0125129,-8.9679801
21,105.5,-76.76056,-72.991015,-72.213065,-73.771418,44.140451,21.203426,5.7579923,-7.4852778
22,110.5,-79.964227,-75.10701,-73.950402,-75.246968,46.847613,23.290527,7.5040248,-6.0024791
23,115.5,-83.243942,-77.223421,-75.687774,-76.722514,49.672414,25.377827,9.2504579,-4.5229097
24,120.5,-86.824914,-79.340511,-77.425193,-78.19806,52.496453,27.465405,10.997208,-3.0470583
25,125.5,-90.657689,-81.458472,-79.162671,-79.673608,55.533109,29.552878,12.744231,-1.5731394
26,130.5,-94.504217,-83.569977,-80.900226,-81.149162,58.668698,31.639684,14.491508,-0.10567012
27,135.5,-98.488344,-85.66285,-82.637881,-82.624726,61.958091,33.728175,16.237669,1.3584051
28,140.5,-102.47374,-87.773953,-84.375668,-84.100304,65.29629,35.819044,17.983159,2.8206648
29,145.5,-106.46053,-89.893777,-86.11363,-85.575897,68.617515,37.911647,19.728506,4.2819235
